,Company/Branch,Town,Location,Phone,Email,Website,Date Added,Unnamed: 8,0,1,2,3,4,5,6,7
0,,,,,,,,,ERF Electrical Wholesalers Ltd,Company,NOTTINGHAM, Salop Street Daybrook NOTTINGHAM Nottinghamshire NG5 6HD ,0115 920 3960,sales@erfelectrical.co.uk,http://www.erfelectrical.co.uk,2024-07-21
1,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,ANDOVER, Unit 1 Andover Trade Park Off Weyhill Road ANDOVER Hampshire SP10 3ZL,01264 357374,sales.andover@erfelectrical.co.uk,,2024-07-21
2,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,BLABY, Unit Y2A Winchester Avenue Blaby Industrial Park BLABY Leicestershire LE8 4GZ,0116 278 8000,sales.blaby@erfelectrical.co.uk,,2024-07-21
3,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,CANNOCK, Unit 1 Ash Park Hyssop Close CANNOCK Staffordshire WS11 7XA,01543 570500,sales.cannock@erfelectrical.co.uk,,2024-07-21
4,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,DERBY," Unit E, Millennium Business Centre Millennium Way Pride Park DERBY Derbyshire DE24 8HX",01332 344114,sales.derby@erfelectrical.co.uk,,2024-07-21
5,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,LEICESTER, 173 Loughborough Road LEICESTER Leicestershire LE4 5LR,01162 628421,sales.leicester@erfelectrical.co.uk,,2024-07-21
6,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,MANSFIELD, Units 1 & 2 Hallam Way Old Mill Industrial Estate MANSFIELD Nottinghamshire NG19 9BG,01623 631200,sales.mansfield@erfelectrical.co.uk,,2024-07-21
7,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,NEWARK, Unit 9 Newark Business Park 3 Brunel Drive NEWARK Nottinghamshire NG24 2EG,01636 610800,sales.newark@erfelectrical.co.uk,,2024-07-21
8,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,NUNEATON, Unit 13 - Liberty Way Attleborough Fields NUNEATON Warwickshire CV11 6RZ,02476 346953,sales.nuneaton@erfelectrical.co.uk,,2024-07-21
9,,,,,,,,,ERF Electrical Wholesalers Ltd,Branch,WOLVERHAMPTON, Unit 2 Dunstall Hill Estate WOLVERHAMPTON West Midlands WV6 0PJ,01902 871853,wolvescentral@erfelectrical.co.uk,,2024-07-21
10,,,,,,,,,Giltbrook Electrical Distributors Ltd,Company,NOTTINGHAM," Unit 3, Amber Trading Estate Artic Way Giltbrook NOTTINGHAM Nottinghamshire NG16 2HS ",0115 938 4411,accounts@giltbrookelectrical.co.uk,http://www.giltbrookelectrical.co.uk,2024-07-21
11,,,,,,,,,Giltbrook Electrical Distributors Ltd,Branch,NOTTINGHAM," Unit 7, Moorbridge Court Moorbridge Road Bingham NOTTINGHAM Nottinghamshire NG13 8GG",01949 839538,,,2024-07-21
12,,,,,,,,,LED Electrical Ltd,Company,NELSON, Electricity House 10 Kenyon Road Lomeshaye Industrial Estate NELSON Lancashire BB9 5SP ,01282 695269,sales@led-electrical.co.uk,http://www.led-electrical.co.uk,2024-07-21
13,,,,,,,,,LED Electrical Ltd,Branch,BLACKBURN," Unit 3 Blackburn Trade Park, Whalley New Road BLACKBURN Lancashire BB1 6JT",01254 53446,blackburn@led-electrical.co.uk,,2024-07-21
14,,,,,,,,,LED Electrical Ltd,Branch,ROSSENDALE, Commerce Street Carrs Industrial Estate Haslingden ROSSENDALE Lancashire BB4 5LA,01706 211027,rossendale@led-electrical.co.uk,,2024-07-21
15,,,,,,,,,LH Electrical Ltd,Company,BURTON-ON-TRENT, Unit 23 - Emerald House Northside Business Park Hawkins Lane BURTON-ON-TRENT Staffordshire DE14 1DB ,01283 533003,sales@lhel.co.uk,http://www.lhelectricalltd.co.uk,2024-07-21
16,,,,,,,,,LH Electrical Ltd,Branch,BIRMINGHAM," Unit 7, Key Business Park Kingsbury Road Erdington BIRMINGHAM West Midlands B24 9PS",01217 364444,birmingham-sales@lhel.co.uk,,2024-07-21
17,,,,,,,,,LH Electrical Ltd,Branch,COALVILLE, 16 Apollo Court Vulcan Way COALVILLE Leicestershire LE67 3AP,01530 614030,coalville-sales@lhel.co.uk,,2024-07-21
18,,,,,,,,,Links Electrical Supplies Ltd,Company,NEWTOWN, Units 35-36 Mochdre Industrial Estate NEWTOWN Powys SY16 4LE ,01686 624555,buying@linkselectrical.co.uk,http://www.linkselectrical.co.uk,2024-07-21
19,,,,,,,,,Links Electrical Supplies Ltd,Branch,ABERYSTWYTH, Unit 43 Glan-yr-Afon Industrial Estate Llanbadarn Fawr ABERYSTWYTH Ceredigion SY23 3JQ,01970 624569,aberystwyth@linkselectrical.co.uk,,2024-07-21
20,,,,,,,,,Links Electrical Supplies Ltd,Branch,BRECON, Unit 14 Ffrwdgrech Industrial Estate BRECON Powys LD3 8LA,01874 618300,martyn.brecon@linkselectrical.co.uk,,2024-07-21
21,,,,,,,,,Links Electrical Supplies Ltd,Branch,BUILTH WELLS, Unit C Station Road BUILTH WELLS Powys LD2 3SS,01982 553233,builth@linkselectrical.co.uk,,2024-07-21
22,,,,,,,,,Links Electrical Supplies Ltd,Branch,LUDLOW, Unit1 Parys Oak Parys Road LUDLOW Shropshire SY8 1XE,01584 875192,ludlow@linkselectrical.co.uk,,2024-07-21
