Company Name,Company/Branch,Town,latitude,longitude,Location,Phone,Email,Website,Date Added
Oldfield Electrical Supplies Ltd,Branch,GUISELEY,53.8748297,-1.707511, Heather House Station Road GUISELEY West Yorkshire LS20 8BX,01943 669177,info@oldfieldgroup.co.uk,,21/07/2024
Oldfield Electrical Supplies Ltd,Branch,KEIGHLEY,53.8684021,-1.9020456," Unit 6, Worth Enterprise Park, Valley Road KEIGHLEY West Yorkshire BD21 4LY",01535 609001,info@oldfieldgroup.co.uk,,21/07/2024
CEF Ltd,Branch,BRADFORD,53.7944229,-1.7519186, Bradford Branch Unit B Bowling Back Lane Industrial Estate Bowling Back Lane BRADFORD West Yorkshire BD4 8SA,01388 663741,sales.bishopauckland@cef.co.uk,,21/07/2024
CEF Ltd,Branch,BRADFORD,53.7944229,-1.7519186, Bradford West Branch Unit 3D Thornton Road Industrial Estate Hockney Road BRADFORD West Yorkshire BD8 9HQ,01279 758115,sales.bishopsstortford@cef.co.uk,,21/07/2024
CEF Ltd,Branch,CLECKHEATON,53.7264346,-1.7140939, Units 2 & 3 Rawfolds Industrial Estate Bradford Road CLECKHEATON West Yorkshire BD19 5LT,0208 644 8515,sales.cheam@cef.co.uk,,21/07/2024
CEF Ltd,Branch,DEWSBURY,53.6909103,-1.6302142," Unit A, Staincliffe Mills Halifax Road Staincliffe DEWSBURY West Yorkshire WF13 4AR",02476 672341,sales.coventry@cef.co.uk,,21/07/2024
CEF Ltd,Branch,HALIFAX,53.7229229,-1.8604874, 3 Hanson Lane HALIFAX West Yorkshire HX1 5NX,01634 377788,sales.gillingham@cef.co.uk,,21/07/2024
CEF Ltd,Branch,HUDDERSFIELD,53.6466645,-1.7822482, Ajax House 1 Leeds Road HUDDERSFIELD West Yorkshire HD1 6DD,01422 341426,sales.halifax@cef.co.uk,,21/07/2024
CEF Ltd,Branch,KEIGHLEY,53.8684021,-1.9020456, Unit D Gresley Road Industrial Estate Gresley Road KEIGHLEY West Yorkshire BD21 5RN,01442 248187,sales.hemelhempstead@cef.co.uk,,21/07/2024
Edmundson Electrical Ltd,Branch,BRADFORD,53.7944229,-1.7519186, Chandos Street Wakefield Road BRADFORD West Yorkshire BD4 7AY,01204 531206,bolton.398@eel.co.uk,,21/07/2024
Edmundson Electrical Ltd,Branch,HALIFAX,53.7229229,-1.8604874, 15 Lister Lane HALIFAX West Yorkshire HX1 5AS,01392 273000,exeter.655@eel.co.uk,,21/07/2024
Edmundson Electrical Ltd,Branch,HUDDERSFIELD,53.6466645,-1.7822482, Fenwick House Colne Road HUDDERSFIELD West Yorkshire HD1 3AY,0141 646 3450,glasgow.374@eel.co.uk,,21/07/2024
LEW Electrical Distributors,Branch,HUDDERSFIELD,53.6466645,-1.7822482, St Andrews Road HUDDERSFIELD West Yorkshire HD1 6RZ,01484 425600,huddersfield@lewelectrical.co.uk,,21/07/2024
Rexel UK Ltd,Branch,BRADFORD,53.7944229,-1.7519186, Unit 3 & 4 Fowler Street Industrial Estate Fowler Street BRADFORD West Yorkshire BD4 7NE,01202 076804,bournemouth@rexel.co.uk,,21/07/2024
Rexel UK Ltd,Branch,BRADFORD,53.7944229,-1.7519186," Unit 1, Rowan Trade Park Neville Road BRADFORD West Yorkshire BD4 8TQ",01274 735329,bradford.industrial@rexel.co.uk,,21/07/2024
Rexel UK Ltd,Branch,HUDDERSFIELD,53.6466645,-1.7822482," Unit 25, Ringway Industrial Estate Beck Road HUDDERSFIELD West Yorkshire HD1 5DG",01476 567377,grantham@rexel.co.uk,,21/07/2024
David Harrison & Sons Ltd,Company,HUDDERSFIELD,53.6466645,-1.7822482, Canal Mills Hillhouse Lane HUDDERSFIELD West Yorkshire HD1 1ED ,01484 533391,huddersfield@davidharrisonltd.co.uk,http://www.davidharrisonltd.co.uk,21/07/2024
